ano;cobertura;regiao
2000;108,1;Norte
2000;104,7;Nordeste
2000;105,5;Sudeste
2000;104,4;Sul
2000;112,6;Centro oeste
2000;107,1;Brasil
2001;110,9;Norte
2001;103,8;Nordeste
2001;102,9;Sudeste
2001;104,7;Sul
2001;106,3;Centro oeste
2001;105,7;Brasil
2002;95,6;Norte
2002;101,3;Nordeste
2002;100,8;Sudeste
2002;99,2;Sul
2002;101,3;Centro oeste
2002;99,6;Brasil
2003;110,1;Norte
2003;113;Nordeste
2003;116;Sudeste
2003;111,1;Sul
2003;113;Centro oeste
2003;112,7;Brasil
2004;117,2;Norte
2004;116,7;Nordeste
2004;109,9;Sudeste
2004;97,4;Sul
2004;104,8;Centro oeste
2004;109,2;Brasil
2005;106,8;Norte
2005;107,3;Nordeste
2005;106,8;Sudeste
2005;100,7;Sul
2005;103,8;Centro oeste
2005;105,1;Brasil
2006;102,6;Norte
2006;107,3;Nordeste
2006;104,6;Sudeste
2006;100,9;Sul
2006;105,7;Centro oeste
2006;104,2;Brasil
2007;108,3;Norte
2007;109,5;Nordeste
2007;103,6;Sudeste
2007;103,4;Sul
2007;108,2;Centro oeste
2007;106,6;Brasil
2008;99,4;Norte
2008;101,7;Nordeste
2008;97,8;Sudeste
2008;95,4;Sul
2008;97,7;Centro oeste
2008;98,4;Brasil
2009;104,4;Norte
2009;106,5;Nordeste
2009;100,9;Sudeste
2009;99,5;Sul
2009;102,4;Centro oeste
2009;102,8;Brasil
2010;98,6;Norte
2010;104;Nordeste
2010;97,3;Sudeste
2010;96,9;Sul
2010;99,3;Centro oeste
2010;99,2;Brasil
2011;99,2;Norte
2011;102,7;Nordeste
2011;103;Sudeste
2011;97,4;Sul
2011;100;Centro oeste
2011;100,5;Brasil
2012;96;Norte
2012;97,6;Nordeste
2012;101,7;Sudeste
2012;97,3;Sul
2012;100,2;Centro oeste
2012;98,6;Brasil
2013;98;Norte
2013;111,5;Nordeste
2013;106,5;Sudeste
2013;106,8;Sul
2013;111,2;Centro oeste
2013;106,8;Brasil
2014;115;Norte
2014;113,3;Nordeste
2014;109;Sudeste
2014;111,1;Sul
2014;122,9;Centro oeste
2014;114,3;Brasil
2015;93,2;Norte
2015;94,4;Nordeste
2015;100,6;Sudeste
2015;96,9;Sul
2015;93,4;Centro oeste
2015;95,7;Brasil
2016;88,4;Norte
2016;96,3;Nordeste
2016;101,4;Sudeste
2016;93,8;Sul
2016;103,8;Centro oeste
2016;96,7;Brasil
2017;81;Norte
2017;86,6;Nordeste
2017;88,5;Sudeste
2017;87,8;Sul
2017;84;Centro oeste
2017;85,6;Brasil
2018;88,5;Norte
2018;95,4;Nordeste
2018;96;Sudeste
2018;90,2;Sul
2018;92,1;Centro oeste
2018;92,4;Brasil
2019;89,8;Norte
2019;95,7;Nordeste
2019;95,1;Sudeste
2019;93;Sul
2019;92,2;Centro oeste
2019;93,2;Brasil
2020;68,9;Norte
2020;77,6;Nordeste
2020;80,8;Sudeste
2020;85,1;Sul
2020;79,3;Centro oeste
2020;78,3;Brasil
